ANYO;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_CAUSA;DESC_CAUSA;COD_GENERO;DESC_GENERO;RANGO_EDAD;NUM_FALLECIDOS
2016;03;ALICANTE;009;ALCOY;01;ENFERMEDADES INFECCIOSAS INTESTINALES;H;HOMBRE;80 - 84;1
2016;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;H;HOMBRE;80 - 84;2
2016;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;M;MUJER;> 84;6
2016;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;M;MUJER;75 - 79;1
2016;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;M;MUJER;80 - 84;3
2016;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;M;MUJER;> 84;2
2016;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;M;MUJER;70 - 74;1
2016;03;ALICANTE;009;ALCOY;13;TUMOR MALIGNO DE CAVIDAD BUCAL Y DE FARINGE;H;HOMBRE;65 - 69;1
2016;03;ALICANTE;009;ALCOY;13;TUMOR MALIGNO DE CAVIDAD BUCAL Y DE FARINGE;M;MUJER;60 - 64;1
2016;03;ALICANTE;009;ALCOY;14;TUMOR MALIGNO DE ESOFAGO;H;HOMBRE;70 - 74;1
2016;03;ALICANTE;009;ALCOY;15;TUMOR MALIGNO DE ESTOMAGO;H;HOMBRE;> 84;1
2016;03;ALICANTE;009;ALCOY;15;TUMOR MALIGNO DE ESTOMAGO;M;MUJER;60 - 64;1
2016;03;ALICANTE;009;ALCOY;15;TUMOR MALIGNO DE ESTOMAGO;M;MUJER;75 - 79;1
2016;03;ALICANTE;009;ALCOY;16;TUMOR MALIGNO DE INTESTINO DELGADO;M;MUJER;> 84;1
2016;03;ALICANTE;009;ALCOY;17;TUMOR MALIGNO DE INTESTINO GRUESO;H;HOMBRE;> 84;1
2016;03;ALICANTE;009;ALCOY;17;TUMOR MALIGNO DE INTESTINO GRUESO;H;HOMBRE;50 - 54;1
2016;03;ALICANTE;009;ALCOY;17;TUMOR MALIGNO DE INTESTINO GRUESO;H;HOMBRE;60 - 64;3
2016;03;ALICANTE;009;ALCOY;17;TUMOR MALIGNO DE INTESTINO GRUESO;H;HOMBRE;65 - 69;1
2016;03;ALICANTE;009;ALCOY;17;TUMOR MALIGNO DE INTESTINO GRUESO;H;HOMBRE;70 - 74;2
2016;03;ALICANTE;009;ALCOY;17;TUMOR MALIGNO DE INTESTINO GRUESO;H;HOMBRE;75 - 79;1
2016;03;ALICANTE;009;ALCOY;17;TUMOR MALIGNO DE INTESTINO GRUESO;H;HOMBRE;80 - 84;1
2016;03;ALICANTE;009;ALCOY;17;TUMOR MALIGNO DE INTESTINO GRUESO;M;MUJER;> 84;2
2016;03;ALICANTE;009;ALCOY;17;TUMOR MALIGNO DE INTESTINO GRUESO;M;MUJER;40 - 44;1
2016;03;ALICANTE;009;ALCOY;17;TUMOR MALIGNO DE INTESTINO GRUESO;M;MUJER;60 - 64;2
2016;03;ALICANTE;009;ALCOY;17;TUMOR MALIGNO DE INTESTINO GRUESO;M;MUJER;75 - 79;2
2016;03;ALICANTE;009;ALCOY;17;TUMOR MALIGNO DE INTESTINO GRUESO;M;MUJER;80 - 84;1
2016;03;ALICANTE;009;ALCOY;18;TUMOR MALIGNO DE RECTO;H;HOMBRE;> 84;1
2016;03;ALICANTE;009;ALCOY;18;TUMOR MALIGNO DE RECTO;H;HOMBRE;75 - 79;1
2016;03;ALICANTE;009;ALCOY;18;TUMOR MALIGNO DE RECTO;M;MUJER;> 84;2
2016;03;ALICANTE;009;ALCOY;18;TUMOR MALIGNO DE RECTO;M;MUJER;80 - 84;1
2016;03;ALICANTE;009;ALCOY;19;TUMOR MALIGNO DE HIGADO;H;HOMBRE;45 - 49;1
2016;03;ALICANTE;009;ALCOY;19;TUMOR MALIGNO DE HIGADO;H;HOMBRE;55 - 59 ;1
2016;03;ALICANTE;009;ALCOY;19;TUMOR MALIGNO DE HIGADO;H;HOMBRE;70 - 74;2
2016;03;ALICANTE;009;ALCOY;19;TUMOR MALIGNO DE HIGADO;H;HOMBRE;80 - 84;1
2016;03;ALICANTE;009;ALCOY;19;TUMOR MALIGNO DE HIGADO;M;MUJER;65 - 69;1
2016;03;ALICANTE;009;ALCOY;19;TUMOR MALIGNO DE HIGADO;M;MUJER;70 - 74;1
2016;03;ALICANTE;009;ALCOY;19;TUMOR MALIGNO DE HIGADO;M;MUJER;75 - 79;1
2016;03;ALICANTE;009;ALCOY;21;TUMOR MALIGNO DE PANCREAS;H;HOMBRE;55 - 59 ;1
2016;03;ALICANTE;009;ALCOY;21;TUMOR MALIGNO DE PANCREAS;H;HOMBRE;60 - 64;2
2016;03;ALICANTE;009;ALCOY;21;TUMOR MALIGNO DE PANCREAS;H;HOMBRE;65 - 69;1
2016;03;ALICANTE;009;ALCOY;21;TUMOR MALIGNO DE PANCREAS;H;HOMBRE;70 - 74;1
2016;03;ALICANTE;009;ALCOY;21;TUMOR MALIGNO DE PANCREAS;H;HOMBRE;75 - 79;3
2016;03;ALICANTE;009;ALCOY;21;TUMOR MALIGNO DE PANCREAS;M;MUJER;> 84;1
